pt,score,server,prior_prob,live_prob,prior_odds,live_odds,gap
226,2-1 0-1 30-0,Jannik Sinner,0.8017,0.81827,1.247,1.222,0.01657
227,2-1 0-1 40-0,Jannik Sinner,0.80773,0.83422,1.238,1.199,0.02649
228,2-1 1-1 0-0,Carlos Alcaraz,0.8099,0.84525,1.235,1.183,0.03535
229,2-1 1-1 0-15,Carlos Alcaraz,0.83039,0.87473,1.204,1.143,0.04435
230,2-1 1-1 15-15,Carlos Alcaraz,0.81239,0.85076,1.231,1.175,0.03837
231,2-1 1-1 15-30,Carlos Alcaraz,0.83778,0.88272,1.194,1.133,0.04494
232,2-1 1-1 30-30,Carlos Alcaraz,0.81496,0.85609,1.227,1.168,0.04113
233,2-1 1-1 30-40,Carlos Alcaraz,0.84993,0.89388,1.177,1.119,0.04395
234,2-1 1-1 40-40,Carlos Alcaraz,0.81496,0.85992,1.227,1.163,0.04496
235,2-1 1-1 AD-40,Carlos Alcaraz,0.79059,0.82923,1.265,1.206,0.03864
236,2-1 1-2 0-0,Jannik Sinner,0.77362,0.80166,1.293,1.247,0.02804
237,2-1 1-2 15-0,Jannik Sinner,0.78753,0.82427,1.27,1.213,0.03675
238,2-1 1-2 30-0,Jannik Sinner,0.79845,0.8431,1.252,1.186,0.04465
239,2-1 1-2 40-0,Jannik Sinner,0.80514,0.85703,1.242,1.167,0.05189
240,2-1 1-2 40-15,Jannik Sinner,0.80139,0.84151,1.248,1.188,0.04012
241,2-1 1-2 40-30,Jannik Sinner,0.79179,0.81878,1.263,1.221,0.02699
242,2-1 2-2 0-0,Carlos Alcaraz,0.80755,0.84306,1.238,1.186,0.03551
243,2-1 2-2 15-0,Carlos Alcaraz,0.79138,0.81849,1.264,1.222,0.02711
244,2-1 2-2 15-15,Carlos Alcaraz,0.81036,0.84867,1.234,1.178,0.0383
245,2-1 2-2 30-15,Carlos Alcaraz,0.79032,0.82136,1.265,1.217,0.03104
246,2-1 2-2 40-15,Carlos Alcaraz,0.77433,0.79563,1.291,1.257,0.0213
247,2-1 2-2 40-30,Carlos Alcaraz,0.78567,0.82058,1.273,1.219,0.03491
248,2-1 2-3 0-0,Jannik Sinner,0.76644,0.79118,1.305,1.264,0.02474
249,2-1 2-3 15-0,Jannik Sinner,0.78226,0.81564,1.278,1.226,0.03338
250,2-1 2-3 30-0,Jannik Sinner,0.79468,0.83556,1.258,1.197,0.04088
251,2-1 2-3 40-0,Jannik Sinner,0.80229,0.85,1.246,1.176,0.04771
252,2-1 3-3 0-0,Carlos Alcaraz,0.80503,0.85931,1.242,1.164,0.05428
253,2-1 3-3 0-15,Carlos Alcaraz,0.83225,0.89011,1.202,1.123,0.05786
254,2-1 3-3 0-30,Carlos Alcaraz,0.86658,0.92079,1.154,1.086,0.0542
255,2-1 3-3 0-40,Carlos Alcaraz,0.90176,0.9459,1.109,1.057,0.04413
256,2-1 4-3 0-0,Jannik Sinner,0.92494,0.96013,1.081,1.042,0.03519
257,2-1 4-3 0-15,Jannik Sinner,0.89942,0.94,1.112,1.064,0.04058
258,2-1 4-3 15-15,Jannik Sinner,0.92129,0.95633,1.085,1.046,0.03503
259,2-1 4-3 30-15,Jannik Sinner,0.94195,0.9706,1.062,1.03,0.02865
260,2-1 4-3 40-15,Jannik Sinner,0.95768,0.98072,1.044,1.02,0.02304
261,2-1 5-3 0-0,Carlos Alcaraz,0.96494,0.98552,1.036,1.015,0.02057
262,2-1 5-3 0-15,Carlos Alcaraz,0.9729,0.99044,1.028,1.01,0.01754
263,2-1 5-3 0-30,Carlos Alcaraz,0.98294,0.99502,1.017,1.005,0.01208
264,2-1 5-3 0-40,Carlos Alcaraz,0.99322,0.99842,1.007,1.002,0.0052
265,2-1 5-3 15-40,Carlos Alcaraz,0.9885,0.99678,1.012,1.003,0.00827
266,2-1 5-3 30-40,Carlos Alcaraz,0.9805,0.99351,1.02,1.007,0.01302
267,2-1 5-3 40-40,Carlos Alcaraz,0.96691,0.98712,1.034,1.013,0.02021
268,2-1 5-3 AD-40,Carlos Alcaraz,0.95744,0.98105,1.044,1.019,0.02361
269,2-1 5-4 0-0,Jannik Sinner,0.95085,0.97541,1.052,1.025,0.02456
270,2-1 5-4 0-15,Jannik Sinner,0.91949,0.95479,1.088,1.047,0.0353
271,2-1 5-4 15-15,Jannik Sinner,0.94636,0.97183,1.057,1.029,0.02547
272,2-1 5-4 15-30,Jannik Sinner,0.90687,0.94573,1.103,1.057,0.03886
273,2-1 5-4 15-40,Jannik Sinner,0.85272,0.90737,1.173,1.102,0.05465
274,2-1 5-5 0-0,Carlos Alcaraz,0.80034,0.86734,1.249,1.153,0.06701
275,2-1 5-5 15-0,Carlos Alcaraz,0.77667,0.83957,1.288,1.191,0.0629
276,2-1 5-5 30-0,Carlos Alcaraz,0.75731,0.81322,1.32,1.23,0.0559
277,2-1 5-5 40-0,Carlos Alcaraz,0.7449,0.7924,1.342,1.262,0.0475
278,2-1 5-6 0-0,Jannik Sinner,0.74016,0.77902,1.351,1.284,0.03886
279,2-1 5-6 15-0,Jannik Sinner,0.7634,0.80886,1.31,1.236,0.04546
280,2-1 5-6 30-0,Jannik Sinner,0.78166,0.83294,1.279,1.201,0.05128
281,2-1 5-6 30-15,Jannik Sinner,0.76426,0.80575,1.308,1.241,0.04149
282,2-1 5-6 40-15,Jannik Sinner,0.78657,0.83369,1.271,1.199,0.04713
283,2-1 5-6 40-30,Jannik Sinner,0.77054,0.80762,1.298,1.238,0.03709
284,2-1 6-6 0-0,Carlos Alcaraz,0.79687,0.84017,1.255,1.19,0.04331
285,2-1 6-6 1-0,Jannik Sinner,0.85514,0.89284,1.169,1.12,0.0377
286,2-1 6-6 2-0,Jannik Sinner,0.89314,0.92606,1.12,1.08,0.03292
287,2-1 6-6 1-2,Carlos Alcaraz,0.83856,0.8798,1.193,1.137,0.04124
288,2-1 6-6 2-2,Carlos Alcaraz,0.79506,0.83659,1.258,1.195,0.04152
289,2-1 6-6 2-3,Jannik Sinner,0.74588,0.78535,1.341,1.273,0.03947
290,2-1 6-6 2-4,Jannik Sinner,0.67088,0.70769,1.491,1.413,0.03681
291,2-1 6-6 4-3,Carlos Alcaraz,0.71,0.75329,1.408,1.328,0.04329
292,2-1 6-6 5-3,Carlos Alcaraz,0.65217,0.68906,1.533,1.451,0.03689
293,2-1 6-6 3-6,Jannik Sinner,0.60083,0.62963,1.664,1.588,0.0288
